player_code,web_name,team_s,pos,price,own,status,news,chance_of_playing_next_round,penalties_order,corners_and_indirect_freekicks_order,direct_freekicks_order,p_mins,p_starts,p_pts,p_ppg,p_xg90,p_xa90,p_xgi90,p_xgc90,p_bonus,p_bps90,p_yc90,p_saves90,p_price_end,p_team_code,p_apps,p_dc_hits,p_dc_rate,p_dc_actions90,p_dc_p90,has_history
122798,Robertson,TOT,DEF,4.5,3.1,a,,,,3.0,,1165.0,11.0,55.0,4.24892703862661,0.0849785407725322,0.10815450643776824,0.19313304721030042,1.347296137339056,4.0,16.686695278969957,0.0,0.0,5.7,14.0,24.0,0.0,0.0,5.098712446351931,0.0,True
491279,Van de Ven,TOT,DEF,5.0,7.3,a,,,,,,3041.0,35.0,116.0,3.433081223281815,0.08345938835909239,0.011246300559026635,0.09470568891811902,1.2723117395593555,10.0,12.755672476159157,0.2663597500822098,0.0,4.4,6.0,35.0,7.0,0.2,7.339690891154225,0.4143373890167707,True
232859,Spence,TOT,DEF,4.5,3.6,u,Has joined Internazionale permanently,0.0,,,,2049.0,23.0,78.0,3.4260614934114204,0.03953147877013177,0.07774524158125916,0.11727672035139092,1.3800878477306004,3.0,11.903367496339678,0.17569546120058566,0.0,4.1,6.0,30.0,3.0,0.1,6.149341142020498,0.2635431918008785,True
487053,Udogie,TOT,DEF,4.5,0.5,a,,,,,,1335.0,14.0,29.0,1.9550561797752808,0.012134831460674156,0.04853932584269662,0.06067415730337078,1.291011235955056,1.0,8.157303370786517,0.2696629213483146,0.0,4.3,6.0,20.0,1.0,0.05,6.0,0.1348314606741573,True
548308,Phillips,TOT,DEF,4.5,0.1,u,Has joined Middlesbrough permanently,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,,,,,,False
115556,Davies,TOT,DEF,4.0,1.0,a,,,,,,136.0,2.0,10.0,6.61764705882353,0.32426470588235295,0.046323529411764715,0.3705882352941177,0.7345588235294118,1.0,19.191176470588236,0.6617647058823529,0.0,4.3,6.0,3.0,0.0,0.0,9.264705882352942,0.0,True
640419,Byfield,TOT,DEF,4.0,0.1,a,,,,,,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,True
499716,Rowswell,TOT,DEF,4.0,0.1,a,,,,,,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.72,0.0,6.0,0.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,True
616221,Souza,TOT,DEF,4.0,0.3,a,,,,,,142.0,2.0,3.0,1.9014084507042255,0.01267605633802817,0.019014084507042252,0.03169014084507042,1.654225352112676,0.0,0.0,0.6338028169014085,0.0,4.0,6.0,4.0,0.0,0.0,3.802816901408451,0.0,True
460842,Kudus,TOT,MID,6.5,0.1,d,Thigh injury - 75% chance of playing,75.0,2.0,5.0,3.0,1535.0,19.0,75.0,4.397394136807817,0.11257328990228012,0.1413029315960912,0.2538762214983713,1.3332899022801301,7.0,15.068403908794787,0.1758957654723127,0.0,6.4,6.0,19.0,0.0,0.0,7.798045602605862,0.0,True
493362,Xavi,TOT,MID,6.0,0.0,i,Knee injury - Unknown return date,0.0,3.0,6.0,2.0,1747.0,19.0,80.0,4.12135088723526,0.1576416714367487,0.1983400114481969,0.35598168288494564,1.5820835718374355,7.0,17.77332570120206,0.25758443045220375,0.0,6.3,6.0,28.0,3.0,0.1071428571428571,7.676016027475672,0.3091013165426445,True
511499,Tel,TOT,MID,6.0,0.6,a,,,,4.0,,1334.0,13.0,78.0,5.262368815592204,0.1666416791604198,0.16394302848575712,0.3305847076461769,1.1664917541229385,7.0,17.946026986506745,0.06746626686656672,0.0,6.2,6.0,31.0,0.0,0.0,7.488755622188905,0.0,True
172780,Maddison,TOT,MID,6.5,1.6,a,,,,,,34.0,0.0,3.0,6.0,0.42,0.12,0.54,1.3,0.0,10.0,0.0,0.0,6.8,6.0,3.0,0.0,0.0,13.23529411764706,0.0,True
202993,Bentancur,TOT,MID,5.5,0.2,a,,,,,,1880.0,23.0,86.0,4.117021276595745,0.034468085106382974,0.04021276595744681,0.0746808510638298,1.1321808510638296,4.0,17.52127659574468,0.3351063829787234,0.0,5.2,6.0,26.0,13.0,0.5,13.308510638297872,1.24468085106383,True
550839,Odobert,TOT,MID,5.5,0.0,i,Knee injury - Unknown return date,0.0,,,,972.0,10.0,46.0,4.259259259259259,0.17777777777777776,0.11203703703703703,0.2898148148148148,1.3185185185185184,6.0,16.296296296296294,0.0,0.0,5.3,6.0,24.0,0.0,0.0,7.129629629629629,0.0,True
482442,P.M.Sarr,TOT,MID,5.0,0.4,a,,,,,,1388.0,13.0,71.0,4.6037463976945245,0.10569164265129682,0.07197406340057637,0.1776657060518732,1.7293227665706052,2.0,20.295389048991353,0.19452449567723343,0.0,4.5,6.0,26.0,4.0,0.1538461538461538,11.86599423631124,0.5187319884726225,True
232787,Gallagher,TOT,MID,5.5,0.3,a,,,,,,1183.0,14.0,44.0,3.3474218089602705,0.09357565511411665,0.05325443786982249,0.14683009298393915,1.4477599323753172,3.0,16.052409129332208,0.1521555367709214,0.0,5.0,6.0,16.0,2.0,0.125,9.433643279797126,0.3043110735418428,True
570526,Bergvall,TOT,MID,5.5,0.2,a,,,,,,955.0,11.0,49.0,4.617801047120419,0.11591623036649215,0.04052356020942408,0.15643979057591623,1.2873298429319373,0.0,15.361256544502618,0.18848167539267016,0.0,5.2,6.0,23.0,1.0,0.0434782608695652,7.445026178010472,0.1884816753926701,True
445044,Kulusevski,TOT,MID,6.5,0.0,i,Knee injury - Unknown return date,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.0,,,,,,False
547701,Gray,TOT,MID,5.0,0.2,a,,,,,,1471.0,18.0,61.0,3.7321549966009515,0.09177430319510536,0.07892590074779061,0.17070020394289598,1.5173351461590754,6.0,14.500339904826648,0.30591434398368456,0.0,4.8,6.0,24.0,0.0,0.0,8.076138681169272,0.0,True
499721,Moore,TOT,MID,5.0,0.2,a,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,,,,,,False
499726,Olusesi,TOT,MID,4.5,0.8,a,,,,,,14.0,0.0,1.0,2.0,0.0,0.02,0.02,1.5,0.0,6.0,0.0,0.0,4.3,6.0,1.0,0.0,0.0,12.857142857142858,0.0,True
551226,Fernandes,TOT,MID,6.0,2.3,a,,,,,,3017.0,35.0,135.0,4.027179317202519,0.05936360623135564,0.08829963539940337,0.14766324163075903,1.4408352668213456,7.0,19.65860125952933,0.2088167053364269,0.0,5.5,21.0,36.0,15.0,0.4166666666666667,11.007623467020217,0.8949287371561152,True
154566,Solanke,TOT,FWD,6.0,1.7,a,,,1.0,,,997.0,11.0,40.0,3.6108324974924777,0.2681043129388165,0.030692076228686062,0.2987963891675025,1.6068204613841526,4.0,16.880641925777333,0.09027081243731194,0.0,7.1,6.0,15.0,0.0,0.0,6.409227683049148,0.0,True
212319,Richarlison,TOT,FWD,6.0,2.6,a,,,4.0,,,1954.0,20.0,119.0,5.481064483111566,0.3979529170931423,0.06724667349027635,0.4651995905834187,1.180962128966223,17.0,23.25997952917093,0.23029682702149437,0.0,6.5,6.0,32.0,0.0,0.0,6.770726714431934,0.0,True
490145,Scarlett,TOT,FWD,4.5,1.6,a,,,,,,7.0,0.0,2.0,4.0,0.0,0.02,0.02,0.06,0.0,10.0,0.0,0.0,4.3,6.0,2.0,0.0,0.0,12.857142857142858,0.0,True
498016,Roefs,SUN,GKP,5.0,4.8,a,,,,,,3150.0,35.0,136.0,3.8857142857142857,0.0,0.002857142857142857,0.002857142857142857,1.43,12.0,16.37142857142857,0.11428571428571428,3.1142857142857143,4.8,56.0,,,,,,True
232571,Patterson,SUN,GKP,4.0,0.4,u,Has joined Wrexham permanently,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,56.0,,,,,,False
515046,Ellborg,SUN,GKP,4.5,0.1,a,,,,,,270.0,3.0,16.0,5.333333333333333,0.0,0.006666666666666667,0.006666666666666667,1.3666666666666665,3.0,20.666666666666668,0.0,3.3333333333333335,4.0,56.0,,,,,,True
