,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
ARS,0.8229316905326582,0.7765755550678162,1.23338353297565,0.6575371318007824,0.8092718943406638,0.9527913939453602,0.7239900029299032,0.9073932013997318,0.8952959205598222,0.8229316905326582,0.9776092727369909,1.2954068567224704,0.9631270420473963,0.6587881590492248,1.1734266097171133,1.1059241937665099,0.8120283950575705,0.776024254924435,0.8229316905326582,0.9312507343099169,0.691844963800437,0.8200721262205889,1.027438324157997,1.1087733217124771,0.691844963800437,0.8667539917968177,1.0005518402423221,0.9831925284017771,0.8755551346564362,0.7959641205239449,0.691844963800437,0.9500361932943148,0.8417986028001629,0.8859777781575181,0.8250263561303689,0.9119956388509095,0.7299482852487554,1.067570548340031
AVL,1.213293762594132,1.872497427489677,1.0372424708325312,1.4453687600865264,0.9876823473481803,1.475885039181895,1.4656720950779434,2.0530148638294383,1.3736679092039108,1.5000685374192306,1.2614771660581714,1.0372424708325312,1.4380746250832428,1.5582045627903787,1.0372424708325312,1.3126683270662811,1.510023575795902,1.7572302464513962,1.2620591438802087,1.0943685400444483,1.7527148295446016,1.1634475319184026,1.3042164967803576,0.9858067557602541,1.8596954762594247,1.2369135007268273,1.9547177111661433,1.3422645265299955,1.3042164967803576,1.0854356377358512,1.6919303711839073,1.4481559770279901,1.3042164967803576,1.2174264220251554,1.4439597382211045,1.2996845398848937,1.5403778617156751,1.404134568333271
BOU,1.9331194776119704,1.155451363365558,1.8393663952244554,1.1858309373860476,1.4118836732078022,1.6473521035090881,1.0135604133144782,1.8825327080513876,1.213260264060716,1.3017024414642222,1.161311989849826,1.4600853083061105,1.3594171123010248,1.0479002292676476,1.817384289524234,1.0479002292676476,1.2395062476590575,1.5278268971971747,1.20975186181163,1.5226405564693548,1.0479002292676476,1.3621831533363387,1.1037024301915481,1.5522824884752795,1.4611225764516742,1.2519722934227833,1.3017024414642222,1.128181509520394,1.0442589329939755,1.8121181589390625,1.6495380573759642,1.373393628294165,1.5044975189421825,1.3017024414642222,1.4082556663365886,1.2371524468672006,1.5705591385641662,1.6844942821060145
BRE,1.3968570853251843,1.286481299921651,1.2549390614860612,1.3126346240403701,1.9445866131578495,1.210930926203228,1.7481227053736021,1.0788086971534165,1.437877564563554,1.2619150296053325,1.4306212343011706,1.5601819535939085,1.8627924686356139,2.042374301931868,1.2100712720602615,1.2929484104794957,1.0788086971534165,1.0788086971534165,1.550128551071437,1.5061890606914212,1.6831612725484593,1.1382240238807717,1.7436306914016504,1.128933146412554,1.2662133003201663,1.2974568787150806,1.5244071157981391,1.2974568787150806,1.0253117585641782,1.8500568685832681,1.0272625121962953,1.5021972811069895,1.3665483317122378,1.6021066248739788,1.4978533555077393,1.3960541395290276,1.2974568787150806,1.3652719084866416
BHA,1.400600201888298,1.259231421583816,1.4046620835464227,0.995017769639236,1.7418444189168565,0.9456759311297332,1.449481255024135,1.2876228008497907,1.4776712171608044,1.3729055542192685,0.995017769639236,1.2089993977647293,1.210682467994738,1.041249059614765,1.3377333516796015,1.2132151385765704,1.1160851978733064,0.94747516998762,1.6304196197951275,1.7299357204191737,1.3851781416358842,1.9097662992834052,1.4060066185839624,1.2132151385765704,1.439002829503172,1.3061614533369077,0.995017769639236,1.2778205972222676,1.1865604690695115,1.2132151385765704,1.1168780827937308,1.818327804229493,1.0498183158701238,1.3445185403585138,1.1734579332561414,1.1678666822918078,1.6346199746915973,1.3892035573857329
CHE,1.093434984840694,1.8122314430889552,1.361010587368383,1.3969500071133718,1.3570668647764157,1.9919251253166903,1.0285129455047548,1.5039725383504563,1.8773378496932067,0.9264840617807643,1.6173905560594146,1.020117596653674,1.6689973485596006,1.88217432561238,1.4476828543327442,1.6127135244013127,0.9748245402186609,0.9748245402186609,1.392095815165191,1.1441655981828125,1.3511717881568042,1.1624800068864156,1.5481385986673004,1.4097992161008206,1.377472641521214,1.3969500071133718,1.0942117786845658,1.3969500071133718,2.005637331768851,0.9748245402186609,1.4713396129177947,1.1402816289634512,2.1989900723617235,1.2614913452938257,0.9282467862726284,1.5403258298747897,1.186112465751914,1.5808246721869852
COV,1.7016373360789094,1.4099341068137572,1.8100014934469493,1.8290754200512107,1.275427396206677,1.4050347970647252,1.1605636306407603,1.4850151346830491,1.3637303973557318,1.2859238899055463,1.684510021069733,1.4534195402462198,1.4099341068137572,1.7626365325566784,1.627703060950481,1.482966609697485,2.1131638627250156,1.5955178144239925,1.577210928566691,1.2187986259309276,1.5546425513353526,1.1583597405046986,1.6324235637743665,1.4305214952732421,1.8996683940993087,1.6967065988253476,2.010439284227973,1.5424342893010428,2.219428818339972,1.4256654661598864,2.0242789402343635,1.2187986259309276,1.3680654900614655,1.8947869650427909,1.7222194287055173,1.5179513702951555,1.3670942842387945,1.5625279367343425
CRY,1.0793447802351732,2.09112137612511,1.1474754387608948,1.3284243789766295,1.2199328487254326,1.4721966040531702,1.1966373681526714,1.3238083033179733,0.9741232017665491,1.789846627936245,1.0230029517166639,1.3284243789766295,1.294647694223267,1.1482906238145847,1.7852473992690436,0.9722733587600982,1.9072533113857892,1.8942137399996581,1.424136704674822,1.990999705908344,1.3238375897996344,1.4301970543559803,1.0230029517166639,1.3284243789766295,1.5032793032875515,1.2447332863203915,1.2848917530570398,1.4282753364858647,1.3991648960959633,1.0230029517166639,1.4647670808215372,1.51923117651491,1.4794752285118662,1.5336038879064608,1.0705345110010602,1.723334705672104,1.445550988969837,1.5380514936505683
EVE,1.6572366564938925,1.284158792636662,1.864109073522534,1.0049774424831321,1.3871063133058124,1.055405402729842,2.078950300492841,1.4735143277772913,1.4913371668381872,1.3871063133058124,1.4692446095267675,1.8689114689178423,1.1846614188593179,1.460971728195546,1.234539491149521,1.1044424699100936,1.3416506733736686,2.183494754098387,1.2585728294839054,1.6013494397506955,1.055405402729842,1.569685294287128,1.3657686346523448,1.3822863267185803,1.605993514418686,1.0030690078105495,1.5372295451869717,1.5673510902376533,1.5263359179523242,1.49337470371993,1.2387445166992788,1.9778889028882876,1.799461443201084,1.1838204137493666,1.3871063133058124,1.3356541824460029,1.9915044854376216,1.055405402729842
FUL,1.8369436968197315,1.0463028656646132,1.4643209265576886,1.4246354190433648,1.6471117236327988,1.1008950418321708,1.2256359367715157,1.1008950418321708,1.2357221963226275,1.2213770355471467,1.63490639671717,1.7476466620241098,1.0482935568845675,1.1615267727178942,1.3869612499384008,1.3128193054344124,1.5899895995468272,1.7596772808111962,1.1520456840262479,1.319533828364266,1.5556161532105204,1.414939433164183,1.3395080639934591,1.929318331770189,1.3582836121319748,1.5370251216478976,1.4190429000372984,1.2877500922746505,1.2921363610643801,1.6513550814220428,1.3932229864030707,1.1854717004073931,1.5325713717998641,1.3514289572416578,1.2256359367715157,1.1008950418321708,1.2256359367715157,1.5921234057527307
