player_code,web_name,pos,apps,mins,hits,mean_actions,total_actions,hit_rate,actions_p90,defcon_pts,defcon_p90
215379,Anderson,MID,38,3332,26,13.552631578947368,515.0,0.6842105263157895,13.910564225690274,52,1.4045618247298919
221466,Senesi,DEF,37,3288,26,12.486486486486486,462.0,0.7027027027027027,12.645985401459855,52,1.4233576642335768
17761,Tarkowski,DEF,37,3330,23,10.864864864864865,402.0,0.6216216216216216,10.864864864864865,46,1.2432432432432432
437499,Lacroix,DEF,35,3085,22,11.342857142857143,397.0,0.6285714285714286,11.581847649918963,44,1.2836304700162073
477717,Estève,DEF,34,2933,22,10.588235294117647,360.0,0.6470588235294118,11.04670985339243,44,1.3501534265257416
174874,Andersen,DEF,33,2882,21,11.090909090909092,366.0,0.6363636363636364,11.429562803608604,42,1.311589174184594
232928,Garner,MID,38,3413,20,12.052631578947368,458.0,0.5263157894736842,12.077351303838265,40,1.054790506885438
199598,Ampadu,MID,35,3119,19,11.885714285714286,416.0,0.5428571428571428,12.003847386983006,38,1.0965052901571015
233963,Mavropanos,DEF,31,2532,19,10.741935483870968,333.0,0.6129032258064516,11.836492890995261,38,1.3507109004739337
97032,Virgil,DEF,38,3420,19,9.921052631578947,377.0,0.5,9.921052631578947,38,1.0
106611,Keane,DEF,33,2588,18,10.06060606060606,332.0,0.5454545454545454,11.545595054095827,36,1.2519319938176197
227444,Milenković,DEF,38,3375,17,8.947368421052632,340.0,0.4473684210526316,9.066666666666666,34,0.9066666666666666
180736,Chalobah,DEF,34,2780,17,8.735294117647058,297.0,0.5,9.615107913669064,34,1.1007194244604317
432830,Collins,DEF,35,2971,17,10.028571428571428,351.0,0.4857142857142857,10.632783574554022,34,1.0299562436889935
223827,Ballard,DEF,29,2144,16,9.517241379310345,276.0,0.5517241379310345,11.585820895522387,32,1.3432835820895521
469142,Van Hecke,DEF,36,3210,16,9.63888888888889,347.0,0.4444444444444444,9.728971962616823,32,0.8971962616822431
465642,Thiaw,DEF,35,2963,16,9.142857142857142,320.0,0.45714285714285713,9.71987850151873,32,0.9719878501518731
427623,Richards,DEF,33,2825,16,9.787878787878787,323.0,0.48484848484848486,10.290265486725664,32,1.0194690265486726
200834,Mukiele,DEF,32,2784,15,9.40625,301.0,0.46875,9.730603448275861,30,0.9698275862068966
509291,André,MID,35,2760,15,10.771428571428572,377.0,0.42857142857142855,12.293478260869565,30,0.9782608695652174
503139,Scott,MID,37,2848,15,10.432432432432432,386.0,0.40540540540540543,12.198033707865168,30,0.9480337078651685
551226,M.Fernandes,MID,36,3017,15,10.25,369.0,0.4166666666666667,11.007623467020217,30,0.8949287371561152
494521,Truffert,DEF,38,3378,15,9.236842105263158,351.0,0.39473684210526316,9.351687388987568,30,0.7992895204262878
448089,J.Gomes,MID,35,2829,15,11.057142857142857,387.0,0.42857142857142855,12.311770943796395,30,0.9544008483563097
214225,Rodon,DEF,35,2952,15,8.628571428571428,302.0,0.42857142857142855,9.207317073170733,30,0.9146341463414634
204716,Konaté,DEF,36,3090,15,8.833333333333334,318.0,0.4166666666666667,9.262135922330096,30,0.8737864077669902
220237,Botman,DEF,25,1834,14,9.8,245.0,0.56,12.022900763358779,28,1.3740458015267176
204480,Rice,MID,36,3093,14,10.444444444444445,376.0,0.3888888888888889,10.940834141610088,28,0.8147429679922406
216055,Florentino,MID,31,2100,14,10.096774193548388,313.0,0.45161290322580644,13.414285714285715,28,1.2
209036,Guéhi,DEF,35,3150,14,8.942857142857143,313.0,0.4,8.942857142857143,28,0.8
463981,Hill,DEF,29,2102,14,9.275862068965518,269.0,0.4827586206896552,11.517602283539487,28,1.1988582302568982
222694,Struijk,DEF,34,2935,14,9.294117647058824,316.0,0.4117647058823529,9.689948892674616,28,0.8586030664395229
61256,Casemiro,MID,34,2575,14,10.441176470588236,355.0,0.4117647058823529,12.407766990291263,28,0.9786407766990292
135720,Danso,DEF,24,1489,13,8.291666666666666,199.0,0.5416666666666666,12.028206850235057,26,1.5715245130960376
84450,Xhaka,MID,34,2901,13,10.647058823529411,362.0,0.38235294117647056,11.2306101344364,26,0.8066184074457083
202993,Bentancur,MID,26,1880,13,10.692307692307692,278.0,0.5,13.308510638297872,26,1.2446808510638299
201895,Alderete,DEF,33,2797,13,10.181818181818182,336.0,0.3939393939393939,10.811583839828387,26,0.8366106542724348
444765,Van den Berg,DEF,32,2761,13,9.4375,302.0,0.40625,9.84425932633104,26,0.8475190148496922
244723,Mitchell,DEF,38,3253,13,7.7105263157894735,293.0,0.34210526315789475,8.106363356901321,26,0.7193359975407316
575476,Murillo,DEF,25,2130,13,10.2,255.0,0.52,10.774647887323944,26,1.0985915492957745
486672,Caicedo,MID,33,2796,13,11.090909090909092,366.0,0.3939393939393939,11.781115879828326,26,0.8369098712446352
441164,Pedro Porro,DEF,34,2793,12,7.4411764705882355,253.0,0.35294117647058826,8.152524167561761,24,0.7733619763694951
232892,Bassey,DEF,30,2532,12,8.166666666666666,245.0,0.4,8.708530805687204,24,0.8530805687203792
154296,J.Palhinha,MID,33,2192,12,9.151515151515152,302.0,0.36363636363636365,12.39963503649635,24,0.9854014598540146
226597,Gabriel,DEF,32,2750,12,9.125,292.0,0.375,9.556363636363637,24,0.7854545454545454
83299,Dunk,DEF,33,2837,12,8.272727272727273,273.0,0.36363636363636365,8.660556926330631,24,0.7613676418752203
221632,Romero,DEF,23,1869,11,9.73913043478261,224.0,0.4782608695652174,10.786516853932584,22,1.0593900481540932
508395,Yarmoliuk,MID,37,2652,11,9.135135135135135,338.0,0.2972972972972973,11.470588235294118,22,0.746606334841629
478969,Ekdal,DEF,19,1539,11,9.894736842105264,188.0,0.5789473684210527,10.994152046783626,22,1.286549707602339
501837,Mosquera,DEF,27,2137,11,8.555555555555555,231.0,0.4074074074074074,9.728591483387927,22,0.9265325222274217
512462,O'Brien,DEF,37,3118,11,7.0,259.0,0.2972972972972973,7.475946119307248,22,0.6350224502886466
467779,Wieffer,MID,26,1901,11,10.346153846153847,269.0,0.4230769230769231,12.735402419779064,22,1.0415570752235666
78916,Burn,DEF,29,2195,11,9.0,261.0,0.3793103448275862,10.701594533029613,22,0.9020501138952164
434752,Bijol,DEF,25,1888,11,9.2,230.0,0.44,10.963983050847457,22,1.048728813559322
462116,Todibo,DEF,23,1817,10,7.782608695652174,179.0,0.43478260869565216,8.866263070996148,20,0.9906439185470556
191866,Ajer,DEF,27,1805,10,7.37037037037037,199.0,0.37037037037037035,9.922437673130194,20,0.9972299168975068
215136,N.Williams,DEF,37,3203,10,7.756756756756757,287.0,0.2702702702702703,8.064314704964096,20,0.561973150171714
214048,Kilman,DEF,21,1559,10,9.095238095238095,191.0,0.47619047619047616,11.026298909557408,20,1.1545862732520846
466525,Stach,MID,29,2369,10,9.172413793103448,266.0,0.3448275862068966,10.105529759392148,20,0.7598142676234698
510362,Toti,DEF,19,1423,10,8.68421052631579,165.0,0.5263157894736842,10.435699226985243,20,1.2649332396345747
651426,Canvot,DEF,20,1331,10,8.45,169.0,0.5,11.427498121712997,20,1.35236664162284
424876,Szoboszlai,MID,36,3232,10,9.38888888888889,338.0,0.2777777777777778,9.412128712871286,20,0.556930693069307
224967,Mykolenko,DEF,33,2959,10,7.666666666666667,253.0,0.30303030303030304,7.695167286245352,20,0.6083136194660358
209365,De Ligt,DEF,13,1170,9,10.692307692307692,139.0,0.6923076923076923,10.692307692307692,18,1.3846153846153846
247348,Muñoz,DEF,29,2400,9,8.137931034482758,236.0,0.3103448275862069,8.85,18,0.6749999999999999
214590,Wan-Bissaka,DEF,25,2080,9,7.52,188.0,0.36,8.134615384615385,18,0.7788461538461539
210462,Sangaré,MID,28,2073,9,9.535714285714286,267.0,0.32142857142857145,11.59189580318379,18,0.7814761215629522
58621,Walker,DEF,36,3095,9,7.361111111111111,265.0,0.25,7.705977382875607,18,0.5234248788368336
167074,Tete,DEF,22,1791,9,8.545454545454545,188.0,0.4090909090909091,9.447236180904524,18,0.9045226130653267
496221,Wharton,MID,34,2552,9,8.911764705882353,303.0,0.2647058823529412,10.685736677115989,18,0.6347962382445141
444463,Fofana,DEF,25,1718,9,8.56,214.0,0.36,11.21071012805588,18,0.9429569266589057
